Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31,Column_32,Column_33,Column_34,Column_35,Column_36,Column_37,Column_38,Column_39,Column_40,Column_41,Column_42,Column_43,Column_44,Column_45,Column_46,Column_47,Column_48,Column_49,Column_50,Column_51,Column_52,Column_53,Column_54,Column_55,Column_56,Column_57,Column_58,Column_59,Column_60,Column_61,Column_62,Column_63,Column_64,Column_65,Column_66,Column_67,Column_68,Column_69,Column_70,Column_71,Column_72,Column_73,Column_74,Column_75,Column_76,Column_77,Column_78,Column_79,Column_80,Column_81,Column_82,Column_83,Column_84,Column_85,Column_86,Column_87,Column_88,Column_89,Column_90
Rk,Player,xG,Sh,Cmp,Tkl,Off,Date,Age,Nation,Team,,Opp,Comp,Result,Start,Min,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,xG,npxG,xAG,xG+xAG,xA,npxG+xAG,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Off,PKwon,PKcon,OG,Recov,Pos.,Match Report
1,Onel Hernández,0.1,1,3,0,2,2019-08-09,26-189,cu CUB,Norwich City,@,Liverpool,eng Premier League,L 1-4,N,21,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0.0,0.1,-0.1,-0.1,0.0,0.06,1,0.00,,0,0.0,9.5,0,1,0.00,,0,0.0,9.5,0,3,6,50.0,0,1,0,0,1,42,2,2,3,66.7,1,2,50.0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,0,0,0,0,"FW,MF",Match Report
2,Teemu Pukki,0.5,3,9,1,1,2019-08-09,29-133,fi FIN,Norwich City,@,Liverpool,eng Premier League,L 1-4,Y,82,1,0,1,1,0,0,0,0.5,0.5,0.1,0.6,0.0,0.6,+0.5,+0.5,-0.1,0.16,3,0.33,1.00,1,33.3,11.5,0,3,0.33,1.00,1,33.3,11.5,0,9,14,64.3,2,0,1,0,2,98,17,4,4,100.0,4,6,66.7,0,1,0.0,1,1,0,1,0,0,0,,0,0,0,0,1,2,1,0,1,0,0,0,2,FW,Match Report
3,Josip Drmić,0.0,0,2,0,0,2019-08-09,27-001,ch SUI,Norwich City,@,Liverpool,eng Premier League,L 1-4,N,8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,2,3,66.7,0,0,0,0,0,10,0,1,1,100.0,0,0,,0,1,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,FW,Match Report
4,Andrew Robertson,0.1,2,71,1,0,2019-08-09,25-151,sct SCO,Liverpool,,Norwich City,eng Premier League,W 4-1,Y,90,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0.1,0.1,-0.1,-0.1,0.0,0.03,2,0.00,,0,0.0,20.9,0,2,0.00,,0,0.0,20.9,0,71,84,84.5,1,9,3,2,12,1098,376,39,41,95.1,24,28,85.7,6,9,66.7,1,0,1,0,0,0,0,,0,2,0,2,1,2,1,0,0,0,0,0,6,DF,Match Report
5,James Milner,0.0,0,2,0,0,2019-08-09,33-217,eng ENG,Liverpool,,Norwich City,eng Premier League,W 4-1,N,5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,2,3,66.7,0,0,0,0,0,14,11,1,1,100.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,"MF,DF",Match Report
6,Divock Origi,0.2,1,12,3,0,2019-08-09,24-113,be BEL,Liverpool,,Norwich City,eng Premier League,W 4-1,Y,73,1,0,1,1,0,0,0,0.2,0.2,0.1,0.3,0.1,0.3,+0.8,+0.8,-0.1,0.23,1,1.00,1.00,1,100.0,12.5,0,1,1.00,1.00,1,100.0,12.5,0,12,22,54.5,2,0,3,1,2,162,24,5,8,62.5,4,7,57.1,1,4,25.0,3,3,2,1,0,1,1,100.0,0,0,0,0,1,4,0,0,0,0,0,0,2,FW,Match Report
7,Kenny McLean,0.0,0,29,2,0,2019-08-09,27-213,sct SCO,Norwich City,@,Liverpool,eng Premier League,L 1-4,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,29,32,90.6,0,1,0,0,3,439,73,16,16,100.0,12,15,80.0,0,0,,2,1,2,0,0,0,0,,0,0,0,0,1,3,3,0,0,0,0,0,1,MF,Match Report
8,Roberto Firmino,0.8,4,23,1,0,2019-08-09,27-311,br BRA,Liverpool,,Norwich City,eng Premier League,W 4-1,Y,85,0,1,1,0,0,0,0,0.8,0.8,0.3,1.1,0.1,1.1,-0.8,-0.8,+0.7,0.20,4,0.00,0.00,1,25.0,13.9,0,4,0.00,0.00,1,25.0,13.9,0,23,30,76.7,1,0,0,0,1,244,63,18,21,85.7,2,3,66.7,1,1,100.0,1,1,0,1,0,0,2,0.0,2,1,0,1,0,1,0,0,0,0,0,0,5,FW,Match Report
9,Tom Trybull,0.0,1,31,1,1,2019-08-09,26-153,de GER,Norwich City,@,Liverpool,eng Premier League,L 1-4,Y,69,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1,0.00,,0,0.0,11.5,0,1,0.00,,0,0.0,11.5,0,31,35,88.6,0,0,0,0,0,573,122,13,15,86.7,14,15,93.3,4,4,100.0,1,1,0,1,0,1,5,20.0,4,1,0,1,1,2,5,0,1,0,0,0,6,MF,Match Report
10,Emi Buendía,0.1,2,26,1,0,2019-08-09,22-227,ar ARG,Norwich City,@,Liverpool,eng Premier League,L 1-4,Y,90,0,1,1,0,0,0,0,0.1,0.1,0.4,0.5,0.3,0.5,-0.1,-0.1,+0.6,0.05,2,0.00,0.00,2,100.0,25.6,1,2,0.00,0.00,2,100.0,25.6,1,26,38,68.4,3,3,1,0,6,379,160,13,17,76.5,11,14,78.6,1,1,100.0,1,0,1,0,0,1,2,50.0,1,3,0,3,1,2,1,0,0,0,0,0,3,"FW,MF",Match Report
11,Max Aarons,0.0,0,28,3,0,2019-08-09,19-217,eng ENG,Norwich City,@,Liverpool,eng Premier League,L 1-4,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,28,36,77.8,0,1,1,0,1,309,123,19,20,95.0,6,9,66.7,0,0,,3,3,3,0,0,0,0,,0,1,1,0,1,4,7,0,0,0,0,0,6,DF,Match Report
12,Joe Gomez,0.0,0,45,2,0,2019-08-09,22-078,eng ENG,Liverpool,,Norwich City,eng Premier League,W 4-1,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,45,54,83.3,1,4,0,0,8,849,256,10,13,76.9,32,36,88.9,2,4,50.0,2,1,1,1,0,0,0,,0,3,1,2,0,2,0,0,0,0,0,0,4,DF,Match Report
13,Alisson,0.0,0,10,0,0,2019-08-09,26-311,br BRA,Liverpool,,Norwich City,eng Premier League,W 4-1,Y,38,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,10,12,83.3,0,0,0,0,0,232,156,1,1,100.0,7,8,87.5,2,3,66.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,1,GK,Match Report
14,Fabinho,0.0,1,34,8,0,2019-08-09,25-290,br BRA,Liverpool,,Norwich City,eng Premier League,W 4-1,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.03,1,0.00,0.00,1,100.0,31.4,0,1,0.00,0.00,1,100.0,31.4,0,34,43,79.1,1,2,0,0,4,582,138,8,12,66.7,20,23,87.0,2,3,66.7,8,5,1,6,1,3,4,75.0,1,2,0,2,2,10,0,0,0,0,0,0,10,MF,Match Report
15,Jordan Henderson,0.1,2,47,2,0,2019-08-09,29-053,eng ENG,Liverpool,,Norwich City,eng Premier League,W 4-1,Y,90,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0.1,0.1,-0.1,-0.1,0.0,0.07,2,0.00,0.00,1,50.0,15.8,0,2,0.00,0.00,1,50.0,15.8,0,47,60,78.3,0,4,4,0,9,858,179,17,19,89.5,20,25,80.0,8,13,61.5,2,1,0,1,1,0,2,0.0,2,1,0,1,2,4,0,0,0,0,0,0,6,MF,Match Report
16,Moritz Leitner,0.0,1,14,0,0,2019-08-09,26-244,de GER,Norwich City,@,Liverpool,eng Premier League,L 1-4,N,33,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,1,0.00,,0,0.0,16.3,0,1,0.00,,0,0.0,16.3,0,14,17,82.4,0,2,1,0,2,208,70,8,10,80.0,3,3,100.0,1,1,100.0,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,2,0,0,0,0,0,2,MF,Match Report
17,Ben Godfrey,0.0,1,35,0,0,2019-08-09,21-206,eng ENG,Norwich City,@,Liverpool,eng Premier League,L 1-4,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,1,0.00,0.00,1,100.0,29.3,0,1,0.00,0.00,1,100.0,29.3,0,35,43,81.4,0,1,0,0,0,695,297,16,16,100.0,14,17,82.4,5,9,55.6,0,0,0,0,0,0,0,,0,0,0,0,4,4,8,0,0,0,0,0,9,DF,Match Report
18,Marco Stiepermann,0.2,3,11,1,0,2019-08-09,28-181,de GER,Norwich City,@,Liverpool,eng Premier League,L 1-4,Y,57,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0.0,0.2,-0.2,-0.2,0.0,0.05,3,0.00,0.00,1,33.3,18.5,0,3,0.00,0.00,1,33.3,18.5,0,11,16,68.8,0,0,0,0,1,147,41,6,8,75.0,3,4,75.0,1,2,50.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0,0,0,0,0,2,MF,Match Report
19,Sadio Mané,0.0,0,9,0,0,2019-08-09,27-121,sn SEN,Liverpool,,Norwich City,eng Premier League,W 4-1,N,17,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,9,11,81.8,0,0,0,0,0,79,17,4,5,80.0,1,2,50.0,0,0,,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,FW,Match Report
20,Trent Alexander-Arnold,0.2,2,32,1,0,2019-08-09,20-306,eng ENG,Liverpool,,Norwich City,eng Premier League,W 4-1,Y,90,0,1,1,0,0,0,0,0.2,0.2,0.9,1.1,0.7,1.1,-0.2,-0.2,+0.1,0.08,2,0.00,0.00,1,50.0,25.7,1,2,0.00,0.00,1,50.0,25.7,1,32,56,57.1,3,2,2,1,4,603,157,14,18,77.8,13,21,61.9,4,10,40.0,1,1,1,0,0,0,1,0.0,1,1,1,0,2,3,2,0,0,0,0,0,7,DF,Match Report
21,Virgil van Dijk,0.1,1,50,3,0,2019-08-09,28-032,nl NED,Liverpool,,Norwich City,eng Premier League,W 4-1,Y,90,1,0,1,1,0,0,0,0.1,0.1,0.0,0.1,0.0,0.1,+0.9,+0.9,0.0,0.08,1,1.00,1.00,1,100.0,9.0,0,1,1.00,1.00,1,100.0,9.0,0,50,57,87.7,0,5,0,0,5,1165,391,9,11,81.8,33,36,91.7,8,10,80.0,3,1,3,0,0,1,1,100.0,0,1,0,1,5,8,3,0,0,0,0,0,3,DF,Match Report
22,Mohamed Salah,0.3,2,24,0,0,2019-08-09,27-055,eg EGY,Liverpool,,Norwich City,eng Premier League,W 4-1,Y,90,1,1,2,1,0,0,0,0.3,0.3,0.2,0.6,0.2,0.6,+0.7,+0.7,+0.8,0.17,2,0.50,1.00,1,50.0,11.8,0,2,0.50,1.00,1,50.0,11.8,0,24,38,63.2,3,3,2,0,3,321,132,16,20,80.0,6,9,66.7,2,7,28.6,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0,0,0,0,0,2,FW,Match Report
23,Grant Hanley,0.0,0,24,0,0,2019-08-09,27-262,sct SCO,Norwich City,@,Liverpool,eng Premier League,L 1-4,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,24,26,92.3,0,0,0,0,0,413,96,10,10,100.0,13,14,92.9,1,2,50.0,0,0,0,0,0,0,2,0.0,2,1,1,0,0,0,5,0,0,0,0,1,0,DF,Match Report
24,Georginio Wijnaldum,0.0,0,37,0,0,2019-08-09,28-271,nl NED,Liverpool,,Norwich City,eng Premier League,W 4-1,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,37,40,92.5,0,3,2,0,6,540,143,21,21,100.0,12,14,85.7,2,2,100.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,0,0,0,0,6,MF,Match Report
25,Jamal Lewis,0.0,0,36,1,0,2019-08-09,21-196,nir NIR,Norwich City,@,Liverpool,eng Premier League,L 1-4,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,-0.1,,0,,,0,,,0,0,,,0,,,0,36,51,70.6,2,2,1,0,4,492,281,22,29,75.9,12,15,80.0,2,4,50.0,1,1,1,0,0,0,0,,0,3,1,2,0,1,4,0,0,0,0,0,2,DF,Match Report
26,Tim Krul,0.0,0,31,0,0,2019-08-09,31-128,nl NED,Norwich City,@,Liverpool,eng Premier League,L 1-4,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,31,52,59.6,0,1,0,0,0,838,599,8,8,100.0,12,12,100.0,11,31,35.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,0,0,0,0,GK,Match Report
27,Todd Cantwell,0.0,0,28,2,1,2019-08-09,21-163,eng ENG,Norwich City,@,Liverpool,eng Premier League,L 1-4,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,-0.1,,0,,,0,,,0,0,,,0,,,0,28,35,80.0,3,4,2,0,6,374,125,17,19,89.5,8,10,80.0,1,1,100.0,2,1,1,1,0,1,3,33.3,2,0,0,0,1,3,1,0,1,0,0,0,4,"FW,MF",Match Report
28,Adrián,0.0,0,14,0,0,2019-08-09,32-218,es ESP,Liverpool,,Norwich City,eng Premier League,W 4-1,N,52,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,14,18,77.8,0,1,0,0,0,398,253,1,1,100.0,8,8,100.0,5,9,55.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
29,Ryan Bertrand,0.1,1,28,1,0,2019-08-10,30-005,eng ENG,Southampton,@,Burnley,eng Premier League,L 0-3,Y,90,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0.0,0.1,-0.1,-0.1,0.0,0.10,1,0.00,,0,0.0,24.5,1,1,0.00,,0,0.0,24.5,1,28,40,70.0,0,3,2,1,5,482,164,17,24,70.8,8,9,88.9,3,6,50.0,1,1,1,0,0,1,2,50.0,1,1,0,1,1,2,0,0,0,0,0,0,4,DF,Match Report
30,Abdoulaye Doucouré,0.0,0,40,1,0,2019-08-10,26-221,ml MLI,Watford,,Brighton,eng Premier League,L 0-3,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,-0.1,,0,,,0,,,0,0,,,0,,,0,40,53,75.5,2,3,2,0,6,553,164,20,23,87.0,17,21,81.0,0,1,0.0,1,0,0,1,0,1,1,100.0,0,1,0,1,1,2,0,0,0,0,0,1,9,MF,Match Report
31,Séamus Coleman,0.4,1,63,0,0,2019-08-10,30-303,ie IRL,Everton,@,Crystal Palace,eng Premier League,D 0-0,Y,90,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,0.0,0.4,-0.4,-0.4,0.0,0.45,1,0.00,0.00,1,100.0,7.7,0,1,0.00,0.00,1,100.0,7.7,0,63,86,73.3,0,1,0,0,4,821,357,36,40,90.0,19,29,65.5,3,6,50.0,0,0,0,0,0,0,0,,0,2,2,0,4,4,0,0,0,0,0,0,9,DF,Match Report
32,Danny Ings,0.0,0,12,0,0,2019-08-10,27-018,eng ENG,Southampton,@,Burnley,eng Premier League,L 0-3,Y,65,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,12,19,63.2,1,0,1,0,4,121,36,9,11,81.8,1,3,33.3,0,2,0.0,0,0,0,0,0,0,2,0.0,2,2,0,2,0,0,0,0,0,0,0,0,3,FW,Match Report
33,John Lundstram,0.0,1,33,1,0,2019-08-10,25-173,eng ENG,Sheffield Utd,@,Bournemouth,eng Premier League,D 1-1,Y,77,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,0.2,0.4,0.0,0.0,-0.4,0.01,1,0.00,,0,0.0,28.8,0,1,0.00,,0,0.0,28.8,0,33,40,82.5,2,2,1,0,3,697,130,12,14,85.7,13,13,100.0,8,11,72.7,1,1,0,1,0,1,1,100.0,0,1,0,1,1,2,0,0,0,0,0,0,5,MF,Match Report
